"scheme_id","unit_id","objective"
"y12m","1mech6","use fundamental quantities and units in the S.I. system: length, time and mass;"
"y12m","1mech6","Understand that units behave in the same way as algebraic quantities"
"y12m","1mech6","use derived quantities and units: velocity, acceleration, force, weight;"
"y12m","1mech6","know the difference between position, displacement and distance;"
"y12m","1mech6","know the difference between velocity and speed, and between acceleration and magnitude of acceleration;"
"y12m","1mech6","know the difference between mass and weight (including gravity);"
"y12m","1mech6","understand that there are different types of forces."
"y12m","1mech7","draw and interpret kinematics graphs, knowing the significance (where appropriate) of their gradients and the areas underneath them."
"y12m","1mech7","recognise when it is appropriate to use the suvat formulae for constant acceleration;"
"y12m","1mech7","solve kinematics problems using constant acceleration formulae;"
"y12m","1mech7","solve problems involving vertical motion under gravity."
"y12m","1mech8","understand the concept of a force; use Newton's first law."
"y12m","1mech8","use Newton's second law for motion in a straight line (restricted to forces in two perpendicular directions or simple cases of forces given as 2D (i, j) vectors.);"
"y12m","1mech9","use calculus (differentiation) in kinematics to model motion in a straight line for a particle moving with variable acceleration;"
"y12m","1mech9","understand that gradients of the relevant graphs link to rates of change;"
"y12m","1mech9","know how to find max and min velocities by considering zero gradients and understand how this links with the actual motion (i.e. acceleration = 0)."
"y12m","1mech9","use calculus (integration) in kinematics to model motion in a straight line for a particle moving under the action of a variable force;"
"y12m","1mech9","understand that the area under a graph is the integral, which leads to a physical quantity;"
"y12m","1mech9","know how to use initial conditions to calculate the constant of integration and refer back to the problem."
,,
,,
"y12fm","1core1","be able to solve any quadratic equation with real coefficients"
"y12fm","1core1","be able to add, subtract and multiply complex numbers in the form x + iy with x and y real"
"y12fm","1core1","understand and use the terms 'real part' and 'imaginary part'"
"y12fm","1core1","be able to use and interpret Argand diagrams"
"y12fm","1core1","be able to convert between the Cartesian form and the modulus-argument form of a complex number"
"y12fm","1core1","be able to multiply and divide complex numbers in modulus-argument form"
"y12fm","1core1","be able to construct and interpret simple loci in the Argand diagram such as |z-a|>r  and arg⁡(z-a)=θ"
"y12fm","1core2","be able to find the dimension of a matrix"
"y12fm","1core2","be able to add and subtract matrices of the same dimension"
"y12fm","1core2","be able to multiply a matrix by a scalar"
"y12fm","1core2","be able to multiply conformable matrices"
"y12fm","1core2","be able to calculate determinants of 2×2 and 3×3 matrices"
"y12fm","1core2","understand and use singular and non-singular matrices"
"y12fm","1core2","be able to know the properties of inverse matrices"
"y12fm","1core2","be able to calculate the inverse of non-singular 2×2 and 3×3 matrices"
"y12fm","1core2","be able to use matrices and their inverses to solve linear simultaneous equations, including three linear simultaneous equations in three variables"
"y12fm","1core2","be able to interpret geometrically the solution and failure of solution of three simultaneous linear equations"
"y12fm","1core2","be able to use matrices to represent 2D rotations, reflections, enlargements and translations"
"y12fm","1core2","understand and use zero and identity matrices"
"y12fm","1core2","be able to use matrix products to represent combinations of transformations"
"y12fm","1core2","be able to use matrices to represent linear transformations in three dimensions"
"y12fm","1core2","be able to use inverse matrices to reverse the effect of a linear transformation"
"y12fm","1core2","be able to use the determinant of a matrix to determine the area scale factor of a transformation"
"y12fm","1core2","be able to find invariant points and lines for a linear transformation"
"y12fm","1core3","understand and use the complex conjugate of a complex number"
"y12fm","1core3","be able to divide two complex numbers by using the complex conjugate of the denominator"
"y12fm","1core3","know that non-real roots of polynomial equations with real coefficients occur in conjugate pairs"
"y12fm","1core3","be able to solve cubic or quartic equations with real coefficients"
"y12fm","1core4","be able to use sigma notation"
"y12fm","1core4","understand and use formulae for the sums of integers, squares and cubes"
"y12fm","1core4","be able to use known formulae to sum more complex series"
"y12fm","1core5","understand and use the relationship between roots and coefficients of polynomial equations up to quartic equations"
"y12fm","1core5","be able to form a polynomial equation whose roots are a linear transformation of the roots of a given polynomial equation (of at least cubic degree)"
"y12fm","1core6","be able to obtain a proof for the summation of a series, using induction"
"y12fm","1core6","be able to use proof by induction to prove that an expression is divisible by a certain integer"
"y12fm","1core6","be able to use mathematical induction to prove general statements involving matrix multiplication"
"y12fm","1core7","know how to find the vector equation of a line in both two and three dimensions"
"y12fm","1core7","understand and use the Cartesian forms of an equation of a straight line in three dimensions"
"y12fm","1core7","understand and use the vector and Cartesian forms of the equation of a plane"
"y12fm","1core7","be able to find the scalar product of two vectors"
"y12fm","1core7","be able to check whether vectors are perpendicular by using the scalar product"
"y12fm","1core7","be able to use the scalar product to express the equation of a plane"
"y12fm","1core7","be able to use the scalar product to calculate the angle between two lines"
"y12fm","1core7","be able to use the scalar product to calculate the angle between two planes"
"y12fm","1core7","be able to use the scalar product to calculate the angle between a line and a plane"
"y12fm","1core7","be able to find the points of intersection of lines and planes which meet"
"y12fm","1core7","be able to calculate the perpendicular distance between two lines"
"y12fm","1core7","be able to calculate the perpendicular distance from a point to a line or to a plane"
"y12fm","1core8","be able to derive formulae for and calculate volumes of revolution about both the x and y-axes"
"y12fm","2core1","be able to multiply and divide complex numbers in modulus-argument and exponential form"
"y12fm","2core1","know and use cosine and sine in terms of the exponential form"
"y12fm","2core1","understand, remember and be able to use de Moivre's theorem: zn = rneinθ = rn(sin nθ + i cos nθ)"
"y12fm","2core1","be able to derive multiple angle formulae/expressions e.g. cos 3θ in terms of  powers of cos θ, and sin3 θ in terms of multiple angles of sin θ"
"y12fm","2core1","be able to apply de Moivre's theorem to sum a geometric series"
"y12fm","2core1","know how to solve completely equations of the form zn - a - ib = 0, giving special attention to cases where a = 1, b = 0"
"y13fm","2core2","know the definitions of sinh x, cosh x and tanh x including their domains and ranges"
"y13fm","2core2","be able to sketch graphs of the hyperbolic functions"
"y13fm","2core2","be able to differentiate and integrate the hyperbolic functions and know the standard results"
"y13fm","2core2","understand and be able to use the inverse hyperbolic functions including domains and ranges"
"y13fm","2core2","be able to derive, use and know the logarithmic forms of the inverse hyperbolic functions"
"y13fm","2core3","understand and be able to use polar coordinates and be able to convert between polar and Cartesian coordinates"
"y13fm","2core3","know how to sketch standard polar curves"
"y13fm","2core3","be able to find tangents parallel and perpendicular to the initial line"
"y13fm","2core3","be able to find (compound) areas under polar graphs using the formula 1/2 ∫▒〖r^2 dθ〗"
"y13fm","2core4","be able to use the method of differences to sum simple finite series"
"y13fm","2core4","be able to find and use higher derivatives of functions"
"y13fm","2core4","know how to express functions as an infinite series in ascending powers using Maclaurin's expansion"
"y13fm","2core4","be able to find the series expansion of composite functions"
"y13fm","2core5","know how to deal with infinity as a limit of a definite integral"
"y13fm","2core5","be able to integrate functions across limits which include values when the function is undefined i.e. deal with discontinuous integrands"
"y13fm","2core5","understand and be able to evaluate the mean value of a function"
"y13fm","2core5","be able to integrate functions which can be split into partial fractions up to denominators with quadratic factors"
"y13fm","2core5","be able to differentiate inverse trigonometric functions such as 1/2 arctan x2"
"y13fm","2core5","know how to integrate functions of the form 〖(a^2- x^2)〗^(-1/2) and 〖(a^2+x^2)〗^(-1) and be able to choose trigonometric substitutions to integrate associated functions"
"y13fm","2core5","be able to derive formulae for and calculate volumes of revolution about both the x and y-axes"
"y13fm","2core5","be able to find volumes of revolution for functions given in parametric form"
"y13fm","2core6","be able to identify the form of first order differential equations that can be solved by an integrating factor and carry out the solution"
"y13fm","2core6","be able to find general and particular solutions of differential equations of this form"
"y13fm","2core6","be able to solve second order differential equations of the form y'' + ay' + by = f(x) where f(x) is a polynomial, exponential or trigonometric function"
"y13fm","2core6","be able to find general and particular solutions of second order differential equations of this form"
"y13fm","2core6","be able to use differential equations in modelling in kinematics and in other contexts"
"y13fm","2core6","be able to solve the equation for simple harmonic motion x ̈=-ω^2 x and relate the solution to the motion"
"y13fm","2core6","be able to model damped oscillations using second order differential equations and interpret their solutions"
,,
,,
"y12fm","1mech1","understand the definitions, derivation, and units of momentum and impulse;"
"y12fm","1mech1","understand what happens to the momentum of a sphere as a result of a collision;"
"y12fm","1mech1","use the principle of conservation of momentum applied to direct collisions in 1-dimension."
"y12fm","1mech2","understand the derivation, units and definitions of work and energy;"
"y12fm","1mech2","define kinetic energy (KE);"
"y12fm","1mech2","understand that work done on a body moving in a horizontal plane is the change in kinetic energy."
"y12fm","1mech2","understand the concept of gravitational potential energy (GPE);"
"y12fm","1mech2","include GPE when applying the work-energy principle;"
"y12fm","1mech2","know the conditions for conservation of mechanical energy;"
"y12fm","1mech2","solve problems involving work and energy."
"y12fm","1mech2","understand that power in watts is the rate of doing work; "
"y12fm","1mech2","calculate the power (P) of a vehicle with a tractive (driving) force F, moving with velocity v;"
"y12fm","1mech2","use the formula P = Fv in problem solving."
"y12fm","1mech3","express the 'compressibility', 'bounciness' or 'elasticity' of an object by a value called the coefficient of restitution (e);"
"y12fm","1mech3","know that eis between 0 and 1  [and that e = 0 means inelastic and e =1 means perfectly elastic];"
"y12fm","1mech3","use Newton's (experimental) law of restitution for direct impacts of elastic  spheres;"
"y12fm","1mech3","calculate the change in kinetic energy due to an impact."
"y12fm","1mech3","solve problems of the following types involving elastic impacts:"
"y12fm","1mech3"," successive collisions between pairs of spheres (horizontal motion);"
"y12fm","1mech3"," bouncing ball (off a horizontal elastic plane);"
"y12fm","1mech3"," successive collisions including two spheres and sphere against a wall; "
"y12fm","1mech3"," determination of  number of collisions or deriving the possible range of e. "
"y13fm","2mech4","extend the definition of linear momentum and impulse to 2-D using vectors."
"y13fm","2mech4","use the impulse-momentum principle in vector form i.e. I = mv - mu."
"y13fm","2mech5","investigate the ability of strings to stretch and springs to stretch and compress;"
"y13fm","2mech5","define the modulus of elasticity (lambda), natural length (a) and extension (x);"
"y13fm","2mech5","use the above definitions to work out the tension in a stretched string or a stretched/compressed spring i.e. use  Hooke's Law"
"y13fm","2mech5","derive the elastic potential energy (EPE) from Hooke's Law by applying the work done in stretching a string/spring"
"y13fm","2mech5","calculate the tension in a string or spring when a system is held in equilibrium;"
"y13fm","2mech5","include EPE when using the work-energy principle;"
"y13fm","2mech5","know the conditions for conservation of mechanical energy;"
"y13fm","2mech5","solve string/spring problems involving work and energy (i.e. KE, GPE and EPE)."
"y13fm","2mech6","understand that during an impact the impulse acts perpendicularly to the surface through the centre of the sphere;"
"y13fm","2mech6","apply Newton's (experimental) law of restitution in the direction of the impulse;"
"y13fm","2mech6","appreciate that perpendicular to the impulse, the velocity component does not change;"
"y13fm","2mech6","calculate an angle of deflection;"
"y13fm","2mech6","calculate the kinetic energy 'lost' in an impact;"
"y13fm","2mech6","work in speeds and angles or in velocity vectors (i, j)."
"y13fm","2mech6","understand that, during a collision between two smooth spheres, total momentum is conserved and the impulse acts in the direction of the line of centres;"
"y13fm","2mech6","apply Newton's (experimental) law of restitution in the direction of the line of centres;"
"y13fm","2mech6","appreciate that perpendicular to the line of centres, velocity components do not change;"
"y13fm","2mech6","calculate an angle of deflection;"
"y13fm","2mech6","calculate the kinetic energy 'lost' in a collision;"
"y13fm","2mech6","work in speeds and angles or in velocity vectors (i, j)."
,,
"y12fm","1dec1","understand what an algorithm is;"
"y12fm","1dec1","trace an algorithm in the form of a flow chart;"
"y12fm","1dec1","trace an algorithm given as instructions written in text;"
"y12fm","1dec1","know how to determine the output of an algorithm and how it links to the input;"
"y12fm","1dec1","determine the order of a given algorithm and standard network problems."
"y12fm","1dec1","know how to apply a bubble sort algorithm to a list of numbers or words;"
"y12fm","1dec1","know how to apply the quick sort algorithm to a list of numbers or words, clearly identifying the pivots used for each pass;"
"y12fm","1dec1","identify the number of comparisons and swaps used in a given pass;"
"y12fm","1dec1","identify size, efficiency and order of an algorithm and use them to make predictions;"
"y12fm","1dec1","know how to solve bin packing problems using full bin, first fit, and first fit decreasing algorithms, and understand their strengths and weaknesses."
"y12fm","1dec1","know the meaning of the vocabulary used in graph theory e.g. degree of a vertex, isomorphic graphs, walks, paths and cycles; "
"y12fm","1dec1","be familiar with different types of graph e.g. complete, planar, isomorphic, simple, connected; "
"y12fm","1dec1","understand graphs represented in matrix form;"
"y12fm","1dec1","be familiar with k notation;"
"y12fm","1dec1","know the definition of a tree;"
"y12fm","1dec1","determine if a graph is Eulerian, semi-Eulerian or neither, and find Eulerian cycles."
"y12fm","1dec2","understand the meaning of a minimum spanning tree;"
"y12fm","1dec2","apply Kruskals algorithm to a network to find the minimum spanning tree;"
"y12fm","1dec2","apply Prims algorithm to a network to find the minimum spanning tree;"
"y12fm","1dec2","apply Prims algorithm to a distance matrix to find the minimum spanning tree."
"y12fm","1dec2","apply Dijkstras algorithm to find the shortest path between two vertices in a network;"
"y12fm","1dec2","trace back through a network to be able to find the route corresponding to the shortest path;"
"y12fm","1dec2","consider modifications to an original shortest path problem, for example by dealing with multiple start points or a different end point. "
"y12fm","1dec3","determine whether a graph is traversable;"
"y12fm","1dec3","apply an algorithm to solve the route inspection problem;"
"y12fm","1dec3","find a route by inspection;"
"y12fm","1dec3","understand the importance of the order of vertices of the graph in finding a route."
"y12fm","1dec4","know how to formulate a linear programming problem from a real-life problem (write inequalities from worded questions);"
"y12fm","1dec4","form an appropriate objective function to maximise or minimise."
"y12fm","1dec4","know how to represent a linear programming problem graphically and identify the feasible region;"
"y12fm","1dec4","solve linear programming problems to find a maximum or minimum;"
"y12fm","1dec4","interpret solutions in the context of the original real life problem."
"y12fm","1dec5","model a project by an activity network from a precedence table;"
"y12fm","1dec5","complete a precedence table from a given network;"
"y12fm","1dec5","understand the use of dummies."
"y12fm","1dec5","know how to carry out a forward pass and backward pass using early and late event times;"
"y12fm","1dec5","interpret and use dummies;"
"y12fm","1dec5","identify critical activities and critical paths."
"y12fm","1dec5","know how to determine the total float of activities;"
"y12fm","1dec5","construct and interpret Gantt (cascade) charts."
"y12fm","2dec6","be able to apply the planarity algorithm for planar graphs"
"y12fm","2dec6","be able to determine if a graph contains a Hamiltonian cycle"
"y13fm","2dec7","be able to find all the shortest paths between all the pairs of vertices using Floyd’s algorithm"
"y13fm","2dec8","understand the travelling salesman problem and that there is no simple algorithm to solve it for complex networks"
"y13fm","2dec8","be able to use the nearest neighbour algorithm to find upper bounds for the problem"
"y13fm","2dec8","be able to find lower bounds for a problem"
"y13fm","2dec8","understand that not all upper and lower bounds give a solution to the problem"
"y13fm","2dec8","know how to identify the best upper and lower bounds"
"y13fm","2dec8","be able to solve the travelling salesman problem and interpret this solution in the context of the problem"
"y13fm","2dec9","understand and use slack, surplus and artificial variables"
"y13fm","2dec9","be able to use slack variables to write inequality constraints as equations"
"y13fm","2dec9","know how to rewrite LP problems so that each equation contains all the variables x, y, s, and t"
"y13fm","2dec9","be able to put the information in an initial tableau"
"y13fm","2dec9","be able to find the pivot and use it to form a new tableau"
"y13fm","2dec9","be able to identify if a tableau satisfies the optimality condition"
"y13fm","2dec9","know how to use slack and surplus variables"
"y13fm","2dec9","understand and be able to use artificial variables"
"y13fm","2dec9","be able to use the two-stage simplex algorithm"
"y13fm","2dec9","be able to use the big-M method"
"y13fm","2dec9","be able to relate the solution to the original problem"
"y13fm","2dec10","be able to draw and interpret resource histograms"
"y13fm","2dec10","be able to level resource histograms"
"y13fm","2dec10","be able to construct a scheduling diagram"
"y13fm","2dec10","be able to interpret and modify schedules to meet requirements"
,,
"y13m","2pure1","understand that various types of proof can be used to give confirmation that previously learnt formulae are true, and have a sound mathematical basis"
"y13m","2pure1","understand that there are different types of proof and disproof (e.g. deduction and contradiction), and know when it is appropriate to use which particular method"
"y13m","2pure1","be able to use an appropriate proof within other areas of the specification later in the course"
"y13m","2pure2","be able to add, subtract, multiply and divide algebraic fractions"
"y13m","2pure2","know how to use the factor theorem to shown a linear expression of the form (a+bx) is a factor of a polynomial"
"y13m","2pure2","know how to use the factor theorem for divisors of the form (a+bx)"
"y13m","2pure2","be able to simplify algebraic fractions by fully factorising polynomials up to cubic"
"y13m","2pure2","be able to split a proper fraction into partial fractions"
"y13m","2pure2","be able to split an improper fraction into partial fractions"
"y12m","2pure3","understand what is meant by a modulus of a linear function"
"y12m","2pure3","be able to sketch graphs of functions involving modulus functions"
"y12m","2pure3","be able to solve equations and inequalities involving modulus functions"
"y12m","2pure3","be able to work out the domain and range of functions"
"y12m","2pure3","know the definition of a one-one and a many-one mappings"
"y12m","2pure3","be able to work out the composition of two functions"
"y12m","2pure3","be able to work out the inverse of a function and sketch its graph"
"y12m","2pure3","understand the condition for an inverse function to exist"
"y12m","2pure3","understand the effect of simple transformations on the graph of y=f(x)"
"y12m","2pure3","be able to transform graphs to produce other graphs"
"y12m","2pure3","understand the effect of composite transformations on equations of curves and be able to describe them geometrically"
"y12m","2pure3","use functions in modelling, including consideration of limitations and refinements of the models"
"y12m","2pure4","know what a sequence of numbers is and the meaning of finite and infinite sequences"
"y12m","2pure4","know what a series is"
"y12m","2pure4","know the difference between convergent and divergent sequences"
"y12m","2pure4","know what is meant by arithmetic series and sequences"
"y12m","2pure4","be able to use the standard formulae associated with arithmetic series and sequences"
"y12m","2pure4","know what is meant by geometric series and sequences"
"y12m","2pure4","be able to use the standard formulae associated with geometric series and sequences"
"y12m","2pure4","know the condition for a geometric series to be convergent and be able to find its sum to infinity"
"y12m","2pure4","be able to solve problems involving arithmetic and geometric series and sequences"
"y12m","2pure4","know the proofs and derivations of the sum formulae (for both AP and GP)"
"y12m","2pure4","be familiar with sigma notation and how it can be used to generate a sequence and series"
"y12m","2pure4","know how this notation will lead to an AP or GP and its sum"
"y12m","2pure4","know that the sum of 1 from 1 to n is n"
"y12m","2pure4","know that a sequence can be generated using a formula for the nth term or a recurrence relation of the form xn + 1  = f(xn)"
"y12m","2pure4","know the difference between increasing, decreasing and periodic sequences"
"y12m","2pure4","understand how a recurrence relation of the form Un = f(Un-1) can generate a sequence"
"y12m","2pure4","be able to describe increasing, decreasing and periodic sequences"
"y13m","2pure5","be able to find the binomial expansion of [(1-x)]^(-1 ) for rational values of n and |x|<1"
"y13m","2pure5","be able to find the binomial expansion of [(1+x)]^(n )  for rational values of n and |x|<1"
"y13m","2pure5","be able to find the binomial expansion of [(1+bx)]^(n )  for rational values of n and |x|<1/|b| "
"y13m","2pure5","be able to find the binomial expansion of [(a+x)]^(n ) for rational values of n and |x|<a"
"y13m","2pure5","be able to find the binomial expansion of [(a+bx)]^(n ) for rational values of n and |bx/a| < 1"
"y13m","2pure5","know how to use the binomial theorem to find approximations (including roots)"
"y13m","2pure5","be able to use partial fractions to write a rational function as a series expansion"
"y13m","2pure5","understand the definition of a radian and be able to convert between radians and degrees"
"y13m","2pure6","know and be able to use exact values of sin, cos and tan"
"y13m","2pure6","be able to derive and use the formulae for arc length and area of sector"
"y13m","2pure6","understand and be able to use the standard small angle approximations for sine, cosine and tangent"
"y13m","2pure6","understand the secant, cosecant and cotangent functions, and their relationships to sine, cosine and tangent"
"y13m","2pure6","be able to sketch the graphs of secant, cosecant and cotangent"
"y13m","2pure6","be able to simplify expressions and solve involving sec, cosec and cot"
"y13m","2pure6","be able to solve identities involving sec, cosec and cot"
"y13m","2pure6","know and be able to use the identities 1 + tan2 x = sec2 x and 1 + cot2 x = cosec2 x to prove other identities and solve equations in degrees and/or radians"
"y13m","2pure6","be able to work with the inverse trig functions sin–1, cos–1 and tan–1"
"y13m","2pure6","be able to sketch the graphs of sin-1, cos-1 and tan-1"
"y13m","2pure6","be able to prove geometrically the following compound angle formulae for sin (A +- B), cos (A +- B) and tan (A +- B)"
"y13m","2pure6","be able to use compound angle identities to rearrange expressions or prove other identities"
"y13m","2pure6","be able to use compound angle identities to rearrange equations into a different form and then solve"
"y13m","2pure6","be able to recall or work out double angle identities"
"y13m","2pure6","be able to use double angle identities to rearrange expressions or prove other identities"
"y13m","2pure6","be able to use double angle identities to rearrange equations into a different form and then solve"
"y13m","2pure6","be able to express [a cos〗⁡[θ+b sin⁡θ 〗 as a single sine or cosine function"
"y13m","2pure6","be able to solve equations of the form [a cos][θ+b sin⁡θ]=c in a given interval"
"y13m","2pure6","be able to construct proofs involving trigonometric functions and previously learnt identities"
"y13m","2pure6","be able to use trigonometric functions to solve problems in context, including problems involving vectors, kinematics and forces"
"y13m","2pure7","understand the difference between the Cartesian and parametric system of expressing coordinates"
"y13m","2pure7","be able to convert between parametric and Cartesian forms"
"y13m","2pure7","be able to plot and sketch curves given in parametric form"
"y13m","2pure7","recognise some standard curves in parametric form and how they can be used for modelling"
"y13m","2pure8","be able to find the derivative of sin x and cos x from first principles"
"y13m","2pure8","be able to differentiate functions involving ex, ln x and related functions such as 6e4x and 5 ln 3x and sketch the graphs of these functions"
"y13m","2pure8","be able to differentiate to find equations of tangents and normals to the curve"
"y13m","2pure8","be able to differentiate composite functions using the chain rule"
"y13m","2pure8","be able to differentiate using the product rule"
"y13m","2pure8","be able to differentiate using the quotient rule"
"y13m","2pure8","be able to differentiate parametric equations"
"y13m","2pure8","be able to find the gradient at a given point from parametric equations"
"y13m","2pure8","be able to find the equation of a tangent or normal (parametric)"
"y13m","2pure8","be able to use implicit differentiation to differentiate an equation involving two variables"
"y13m","2pure8","be able to find the gradient of a curve using implicit differentiation"
"y13m","2pure8","be able to verify a given point is stationary (implicit)"
"y13m","2pure8","be able to find and identify the nature of stationary points and understand rates of change of gradient"
"y13m","2pure8","be able to use a model to find the value after a given time"
"y13m","2pure8","be able to set up and use logarithms to solve an equation for an exponential growth or decay problem"
"y13m","2pure8","be able to use logarithms to find the base of an exponential"
"y13m","2pure8","know how to model the growth or decay of 2D and 3D objects using connected rates of change"
"y13m","2pure8","be able to set up a differential equation using given information which may include direct proportion"
